no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_status
2,1,0,8500000,29400000,12,576,57400000,0
0,1,0,700000,1400000,14,639,5900000,0
4,0,0,3500000,8900000,4,470,17800000,1
0,1,0,8800000,31200000,4,826,45300000,0
2,1,1,9900000,21200000,16,363,70300000,1
3,0,0,3600000,8600000,20,613,23300000,0
3,1,1,3000000,8200000,16,713,25500000,0
2,0,0,6800000,21200000,16,439,48700000,1
5,1,1,1100000,3800000,18,387,7900000,1
1,1,1,8700000,28300000,8,402,72100000,1
4,0,1,2000000,8000000,6,837,14500000,0
2,1,0,9800000,37600000,10,641,55100000,0
4,0,0,5700000,21100000,18,489,23300000,1
4,0,0,8800000,20700000,18,540,57500000,1
4,0,0,3800000,8900000,4,844,30400000,0
1,0,0,1700000,6400000,10,452,9700000,1
2,0,0,1000000,2000000,10,366,6100000,1
5,0,0,300000,1100000,2,300,1700000,0
2,0,1,6600000,15000000,18,470,31200000,1
2,1,0,8700000,25000000,20,861,53700000,0
4,0,0,9400000,29400000,12,562,84600000,0
0,0,0,4400000,10800000,14,463,25700000,1
4,1,0,400000,900000,12,478,2100000,1
2,1,1,300000,1100000,2,702,1200000,0
2,1,1,4300000,12900000,20,618,28800000,0
4,0,0,1600000,4500000,12,633,8400000,0
5,1,1,6200000,23600000,10,331,61300000,1
3,1,1,4200000,9700000,16,841,29900000,0
4,1,1,9000000,18100000,12,764,49500000,0
0,0,0,2700000,10600000,6,591,15700000,0
1,0,1,9700000,35900000,2,719,58500000,0
2,0,0,3300000,6800000,14,317,19000000,1
0,1,0,300000,1100000,8,778,2000000,0
3,0,1,7400000,18200000,14,302,31600000,1
5,1,0,7100000,19700000,8,502,48000000,1
5,1,1,7300000,22100000,18,879,59200000,0
1,1,0,8400000,23400000,14,437,62700000,1
0,1,1,3300000,10800000,12,797,17600000,0
4,1,1,5800000,23200000,18,456,50400000,1
0,1,0,600000,1600000,6,647,4300000,0
0,1,0,7200000,15800000,12,379,50000000,1
1,1,1,9100000,32900000,2,717,33700000,0
5,0,0,900000,2300000,16,545,3800000,1
2,0,0,800000,3200000,8,317,4200000,1
1,1,0,8500000,32900000,10,570,37300000,0
0,1,1,9000000,18700000,18,865,59000000,0
3,0,0,7000000,19500000,14,719,50900000,0
3,0,0,200000,600000,16,821,1100000,0
4,1,1,400000,800000,10,859,2400000,0
3,1,0,5100000,18200000,10,395,29900000,1
2,1,1,700000,2600000,12,429,6400000,1
3,0,0,400000,1200000,12,861,2100000,0
0,1,1,9500000,20800000,14,565,74300000,0
5,0,0,8800000,22600000,10,357,39600000,1
3,1,1,1800000,3600000,18,465,9100000,1
4,1,1,6800000,13900000,8,479,56100000,1
3,1,0,1500000,5500000,16,717,8600000,0
3,0,0,1600000,5500000,12,425,7700000,1
2,1,0,4600000,16700000,2,786,26100000,0
5,1,1,2200000,6700000,6,382,15400000,1
3,1,1,2900000,8500000,12,564,13400000,0
0,0,0,200000,700000,8,501,1500000,1
2,1,1,2500000,9400000,10,727,23500000,0
4,1,0,3600000,7500000,6,894,17800000,0
0,0,1,5500000,16700000,18,829,25500000,0
4,1,0,6600000,17400000,20,506,45700000,1
2,0,1,8600000,32100000,6,802,60400000,0
5,1,0,600000,1500000,14,543,3600000,1
3,0,1,1400000,3200000,20,772,10000000,0
3,0,0,4000000,11100000,12,572,24700000,0
0,1,1,4900000,11900000,16,709,37800000,0
5,0,0,2000000,6200000,18,402,14400000,1
1,1,1,5200000,19300000,8,481,46800000,1
5,0,1,8900000,28800000,6,772,47900000,0
1,0,1,6500000,20600000,2,306,39100000,0
2,1,0,1300000,4500000,6,415,5000000,1
3,1,0,9400000,35000000,16,548,63500000,1
5,1,0,5000000,11200000,8,701,28200000,0
2,0,0,3000000,7700000,12,890,19500000,0
5,1,1,9900000,33300000,6,364,60100000,1
5,0,1,700000,1300000,20,704,4400000,0
3,0,1,4000000,10600000,10,318,19500000,1
5,1,0,3100000,9600000,2,761,22200000,0
4,1,0,4500000,15100000,6,693,29000000,0
3,1,0,9700000,20600000,16,524,68800000,1
2,1,1,2000000,5300000,10,681,13500000,0
2,0,1,8100000,22300000,18,737,69200000,0
0,1,0,5700000,15900000,16,638,30400000,0
4,1,0,5800000,12800000,2,656,24300000,0
1,0,0,1800000,6500000,6,540,11800000,1
4,1,1,9100000,35200000,6,341,32600000,1
0,1,1,4800000,17500000,2,371,40700000,0
3,1,1,3800000,10500000,12,886,21700000,0
0,1,0,1900000,4100000,18,801,7200000,0
3,1,1,3600000,9500000,16,748,22400000,0
2,1,1,7400000,28200000,8,376,49500000,1
4,1,1,6600000,14300000,8,371,46200000,1
2,0,0,1800000,5300000,6,826,13000000,0
4,1,0,9200000,27200000,12,873,51500000,0
5,1,1,2400000,8600000,8,309,9600000,1
4,1,0,5600000,13300000,20,869,37300000,0
5,0,0,3800000,13900000,12,534,18600000,1
3,1,1,4500000,17900000,6,787,31900000,0
0,0,1,900000,2200000,16,566,3400000,0
0,1,0,2800000,9900000,8,742,14600000,0
2,1,0,7500000,23100000,4,824,58800000,0
4,0,0,1400000,3100000,14,575,11400000,0
2,0,1,3800000,10900000,10,766,17400000,0
1,1,1,1700000,5000000,10,888,10100000,0
3,0,1,9000000,30400000,6,638,63900000,0
5,1,1,7300000,23300000,6,622,55600000,0
1,1,0,7400000,19800000,18,458,50500000,1
1,1,0,9000000,28200000,16,327,39200000,1
0,1,0,3000000,6500000,2,612,20600000,0
1,0,0,800000,2900000,8,682,6900000,0
2,0,0,4800000,13200000,2,583,34200000,0
5,1,0,6400000,18300000,8,697,39700000,0
3,0,0,9200000,27100000,12,306,54900000,1
4,1,1,400000,1500000,2,669,1900000,0
2,1,0,2800000,6000000,18,816,21900000,0
4,1,1,8500000,28900000,20,455,52900000,1
3,0,1,4700000,16400000,10,318,40000000,1
4,1,1,9800000,21200000,20,355,77100000,1
2,1,1,3800000,8900000,16,389,20200000,1
2,0,0,500000,1500000,2,888,3900000,0
2,0,1,6900000,15600000,6,352,50900000,1
4,1,1,9600000,30100000,12,870,50800000,0
3,1,0,2900000,6500000,18,827,22500000,0
2,0,0,9800000,20900000,12,768,65600000,0
0,0,0,7100000,15400000,18,707,46500000,0
1,1,1,7700000,19100000,10,355,44700000,1
3,0,0,1400000,3300000,2,652,7600000,0
3,0,0,7800000,15900000,2,665,47900000,0
5,1,1,1700000,6000000,18,420,8100000,1
2,1,0,8500000,32700000,18,471,68400000,1
5,1,0,1900000,7500000,20,715,17200000,0
2,1,1,6700000,15200000,10,689,30000000,0
3,0,1,6900000,16400000,4,787,47400000,0
2,0,0,2600000,7800000,4,819,14600000,0
4,0,1,9600000,21100000,6,809,69000000,0
1,1,1,6800000,17000000,2,744,46600000,0
0,1,0,3200000,11300000,6,484,19600000,1
4,1,0,2900000,10400000,6,673,19100000,0
3,0,1,7900000,21200000,18,695,51100000,0
4,1,1,3900000,12400000,12,473,28000000,1
4,0,1,4600000,11000000,2,491,32600000,1
3,1,1,700000,1700000,8,733,4900000,0
0,1,0,5200000,15600000,20,434,43500000,1
3,1,1,5900000,20600000,10,777,34100000,0
4,0,0,7200000,19100000,4,774,37900000,0
1,1,1,8700000,27000000,10,717,60700000,0
3,1,1,1100000,3500000,12,503,6800000,1
1,0,1,4000000,10900000,14,598,28200000,0
2,0,0,9800000,32400000,2,543,75100000,0
0,1,1,2700000,6800000,20,796,13800000,0
3,1,1,8800000,34600000,8,386,55700000,1
5,1,1,3300000,7800000,16,632,21000000,0
1,0,1,6900000,23400000,4,481,53400000,0
3,0,1,900000,3500000,4,770,3300000,1
3,0,1,4100000,15500000,6,667,23100000,0
3,1,1,4700000,17500000,8,585,18800000,0
5,0,1,3400000,11600000,16,479,28500000,1
2,0,0,9600000,22500000,18,851,60600000,0
3,1,1,7000000,16200000,6,378,58400000,1
5,0,0,5700000,12900000,18,807,29100000,0
1,1,1,8200000,32400000,18,831,60600000,0
2,1,0,2100000,5100000,12,674,14200000,0
1,1,1,8000000,28100000,18,725,45200000,0
2,1,0,8000000,29300000,4,600,65600000,0
0,1,1,9400000,27000000,10,536,44700000,1
0,0,0,8400000,20600000,10,477,39900000,1
1,1,1,1900000,5000000,6,560,10600000,0
0,1,1,4200000,16400000,20,539,26100000,1
5,0,0,2600000,9100000,8,852,18000000,0
3,1,0,3700000,8500000,20,853,26400000,0
0,0,0,8800000,30900000,12,729,39500000,0
2,1,0,2100000,4700000,2,546,16400000,1
3,0,1,900000,2400000,10,489,4100000,1
3,0,1,9800000,35400000,6,869,63900000,0
2,1,0,8000000,20000000,2,502,47800000,1
0,0,0,9800000,38800000,8,652,77300000,0
0,1,1,300000,1100000,8,789,1700000,0
4,1,0,2700000,8100000,4,325,19100000,0
3,0,1,7400000,19600000,2,716,46300000,0
3,0,0,9200000,34300000,18,523,67500000,1
5,1,0,9500000,22200000,20,352,62300000,1
5,0,1,3800000,14400000,2,345,21800000,0
0,0,0,8300000,19400000,18,649,54200000,0
2,0,1,2800000,7400000,18,666,12100000,0
0,0,0,8600000,20900000,10,813,54000000,0
0,1,0,5400000,16800000,10,599,34800000,0
5,0,1,4200000,9400000,6,678,25800000,0
5,1,0,5200000,12200000,20,513,37600000,1
5,0,0,9400000,27900000,4,870,41200000,0
3,0,0,8800000,20400000,8,483,54600000,1
1,0,1,5900000,16700000,16,308,39000000,1
3,0,1,1700000,4900000,16,591,11400000,0
1,1,0,7000000,23000000,10,886,48000000,0
4,1,0,1700000,4000000,6,829,8500000,0
0,1,0,1500000,4900000,12,651,9800000,0
4,1,0,2000000,4700000,18,733,17200000,0
5,0,1,3900000,15500000,12,433,27400000,1
1,0,1,900000,3600000,14,713,5300000,0
1,0,0,6900000,22500000,18,403,32400000,1
0,0,1,2800000,7800000,10,405,20800000,1
3,0,1,6800000,19900000,10,516,56500000,1
4,1,1,600000,1800000,8,417,5000000,1
1,1,0,4700000,14000000,6,468,28300000,1
5,0,1,3000000,11800000,10,672,26200000,0
5,1,0,4000000,13900000,6,530,30100000,1
1,1,1,3100000,11300000,14,824,25100000,0
1,1,1,7700000,25500000,12,549,56200000,1
5,1,1,4300000,9300000,10,450,22900000,1
1,0,1,5800000,19500000,20,431,37700000,1
3,0,1,3600000,10700000,16,312,22200000,1
0,1,1,2900000,7600000,8,320,26300000,1
0,0,0,8800000,20200000,4,433,63100000,1
1,1,1,300000,1000000,10,431,1900000,1
5,1,1,8600000,28900000,8,516,48700000,1
2,1,1,3500000,12000000,14,476,23200000,1
5,0,0,800000,2600000,6,560,4300000,0
2,0,0,8000000,27100000,12,674,46500000,0
0,1,1,9900000,38200000,6,573,53200000,0
2,1,0,3300000,6600000,6,331,19900000,1
4,0,1,2000000,6700000,12,633,7700000,0
3,1,0,4900000,12900000,18,877,30000000,0
5,1,1,9200000,23600000,12,656,53900000,0
0,1,0,7500000,18200000,6,782,43300000,0
5,1,0,9000000,29300000,4,531,61200000,0
3,1,0,1400000,4100000,8,455,9400000,1
3,0,0,9600000,19900000,14,452,55500000,1
2,0,0,8400000,33200000,14,474,71500000,1
3,1,0,6400000,24400000,4,483,33800000,0
4,0,0,5900000,16800000,8,481,41100000,1
2,0,1,2200000,5100000,20,859,14500000,0
4,0,1,5600000,14100000,14,696,41500000,0
4,1,0,9800000,28700000,6,778,64800000,0
4,0,0,4400000,14600000,4,499,29600000,0
2,1,1,2400000,4900000,4,888,19200000,0
1,0,0,4400000,10800000,12,674,34800000,0
4,0,0,3700000,13200000,4,802,29000000,0
4,1,1,2300000,7800000,8,540,12400000,1
4,0,1,5900000,19600000,8,726,52300000,0
4,1,1,6400000,23500000,2,485,37500000,0
4,0,1,4900000,17100000,6,612,32800000,0
3,1,1,9500000,24200000,8,879,59400000,0
2,1,0,5700000,16400000,12,708,23900000,0
2,1,1,2700000,5700000,8,850,22900000,0
2,1,1,3900000,11300000,12,516,18100000,1
0,1,0,7800000,28800000,12,465,48400000,1
0,0,0,1100000,3200000,20,716,8300000,0
4,1,0,200000,600000,10,404,500000,1
0,1,1,4700000,10600000,20,512,31700000,1
3,1,1,8200000,20600000,10,441,62700000,1
2,1,1,4600000,18400000,2,555,28500000,0
5,1,0,1800000,7000000,18,466,12600000,1
3,0,1,3200000,8600000,2,427,17500000,1
4,1,1,5500000,20000000,14,593,42600000,0
3,0,0,7900000,18300000,10,731,38200000,0
1,0,1,4000000,10100000,16,451,29100000,1
3,1,1,6800000,16900000,18,628,25000000,0
1,1,0,2700000,9400000,18,704,16400000,0
2,1,0,6800000,23500000,12,341,53900000,1
5,0,0,8600000,21000000,8,465,56000000,1
4,0,0,8000000,30100000,4,431,56000000,0
1,0,1,3700000,12600000,10,424,25100000,1
0,0,0,2600000,5100000,14,678,10800000,0
4,0,0,4200000,16800000,6,381,34100000,1
5,0,1,8000000,28000000,10,449,41300000,1
1,1,0,7100000,23500000,12,768,48200000,0
0,1,0,2000000,7000000,6,666,6900000,1
4,1,1,5800000,13300000,14,742,48700000,0
3,1,1,6700000,15800000,4,445,41300000,1
2,0,0,7300000,28700000,14,634,41700000,0
4,1,0,3300000,9700000,14,782,15100000,0
0,0,0,3000000,7000000,10,781,22200000,0
4,1,0,7900000,17200000,14,318,55900000,1
5,1,0,7600000,24100000,18,721,63500000,0
5,1,0,3700000,9800000,4,563,28800000,0
2,1,0,8400000,26300000,4,419,66200000,0
0,0,1,8200000,20800000,14,372,35200000,1
0,1,0,2900000,9500000,18,885,16600000,0
1,1,1,9900000,38400000,12,596,62600000,0
0,0,0,4400000,14100000,2,349,19600000,0
1,1,1,9000000,32200000,16,468,60400000,1
3,1,1,6800000,26900000,16,818,58700000,0
2,1,0,8700000,28000000,12,543,52500000,1
3,0,0,9400000,21900000,16,685,53200000,0
3,1,1,6000000,12500000,18,851,41400000,0
1,1,1,9400000,29800000,10,377,85200000,1
0,1,1,1000000,4000000,10,620,8500000,0
3,0,1,900000,2300000,20,611,4500000,0
4,1,0,2100000,7700000,4,767,11100000,0
5,0,1,1100000,3200000,20,592,7900000,0
0,0,1,600000,2300000,4,319,5400000,0
4,1,1,9200000,25500000,10,900,60100000,0
2,1,1,3600000,12800000,18,814,27100000,0
5,1,1,1300000,5000000,10,755,11000000,0
5,0,1,7700000,16800000,20,584,44800000,0
4,0,1,9500000,23500000,14,380,62000000,1
2,1,1,5000000,17600000,20,465,33100000,1
0,1,0,500000,1800000,2,531,4400000,0
1,0,1,8300000,32100000,16,814,57600000,0
0,0,0,5300000,17900000,6,678,26600000,0
2,1,1,9300000,29000000,12,655,49500000,0
3,1,0,2300000,7400000,2,682,18600000,0
1,1,0,400000,1300000,6,695,1600000,0
3,1,0,3200000,10800000,4,833,14900000,0
5,1,1,9400000,35300000,16,302,66500000,1
1,0,0,2300000,6600000,2,357,14300000,1
5,1,0,4300000,14500000,12,302,34400000,1
0,0,1,6200000,22400000,18,873,46300000,0
0,1,1,7200000,19800000,12,658,53100000,0
5,0,1,2400000,8700000,18,877,13900000,0
3,1,0,2900000,6300000,8,648,15800000,0
1,0,0,1400000,5200000,12,730,7300000,0
4,1,1,2200000,8200000,14,737,18200000,0
2,0,1,800000,3200000,10,584,3000000,1
0,0,0,600000,1700000,2,621,3000000,0
4,0,1,700000,2700000,16,583,4000000,0
2,1,0,8400000,25900000,16,621,59700000,0
2,1,0,7100000,21500000,16,610,41400000,0
4,0,0,5400000,15700000,18,452,39400000,1
5,0,0,3700000,7300000,18,339,28600000,1
3,0,1,5200000,15200000,16,650,24600000,0
4,1,1,200000,700000,10,672,1000000,0
3,0,0,500000,1000000,20,501,2700000,1
2,1,1,1800000,5700000,4,809,11800000,0
5,0,1,9200000,29400000,8,318,63100000,1
4,1,0,900000,3300000,10,649,3400000,0
3,1,0,7500000,28300000,12,367,50200000,1
5,1,0,3000000,11800000,6,847,19800000,0
5,0,0,7100000,18900000,12,360,40100000,1
1,0,1,3500000,7200000,2,865,23400000,0
4,1,0,4900000,18800000,16,880,24700000,0
1,0,0,4100000,8400000,20,608,23800000,0
0,0,1,800000,2100000,6,760,2600000,0
3,0,1,1700000,4600000,12,385,9700000,1
0,0,1,6100000,23300000,12,478,28700000,1
1,0,1,2100000,7700000,16,327,12500000,1
0,0,0,3100000,9300000,6,663,14600000,0
2,1,1,1700000,3500000,20,693,10100000,0
3,0,0,1700000,5400000,6,710,13000000,0
4,1,1,4000000,14500000,6,711,23100000,0
5,0,0,5600000,18400000,8,386,34900000,1
4,0,1,3900000,11900000,10,855,27200000,0
4,0,1,6100000,15300000,14,573,32700000,0
0,0,1,1100000,2800000,18,431,6500000,1
2,0,0,5500000,14800000,8,364,34600000,1
4,0,1,1100000,3600000,14,711,7200000,0
4,1,1,400000,900000,20,771,3600000,0
3,0,0,9200000,36400000,18,669,59000000,0
4,1,1,9300000,27500000,18,338,63500000,1
1,0,0,1100000,3500000,8,562,7200000,0
3,1,0,5600000,18700000,2,769,38300000,0
0,0,1,6300000,21500000,8,629,31200000,0
3,0,0,8800000,18100000,6,699,36400000,0
0,1,0,8400000,20800000,20,590,56900000,0
3,0,1,1600000,5700000,4,707,14500000,0
3,1,1,4500000,11400000,8,391,29700000,1
5,1,0,6500000,18500000,4,891,47600000,0
3,0,1,9500000,20600000,2,731,47100000,0
3,1,0,4700000,16700000,12,775,26500000,0
5,0,1,9600000,32400000,2,897,51900000,0
5,0,0,8000000,26700000,20,794,60400000,0
2,0,0,7700000,16700000,6,555,42400000,0
1,1,1,3600000,10300000,12,536,22200000,1
2,1,0,700000,1700000,10,839,3700000,0
0,0,1,1400000,5100000,6,890,13100000,0
1,0,1,8600000,27900000,20,415,62000000,1
4,0,0,4700000,15700000,4,868,24400000,0
3,0,1,2900000,5800000,12,353,24200000,1
4,1,0,9000000,29000000,16,590,61700000,0
5,0,1,500000,900000,18,618,3600000,0
2,1,1,700000,1700000,10,539,5200000,1
0,0,0,6800000,27000000,4,429,55500000,0
2,0,0,1800000,4700000,8,792,12000000,0
0,1,0,6000000,12400000,2,608,29800000,0
4,0,1,5400000,21500000,14,555,27600000,0
5,0,1,8400000,17500000,12,620,60700000,0
0,0,0,7400000,20900000,6,635,57800000,0
2,0,0,3200000,12500000,10,457,20600000,1
1,0,1,5400000,21400000,8,350,30100000,1
5,0,1,1000000,2500000,14,885,5700000,0
0,0,0,4400000,14700000,16,638,23800000,0
1,0,1,3800000,10500000,12,710,23000000,0
3,1,1,6100000,20900000,18,470,34500000,1
5,1,1,5500000,17300000,16,874,25500000,0
5,1,1,500000,1800000,18,411,3000000,1
0,1,1,300000,1100000,2,482,1800000,0
1,0,1,6200000,16900000,2,396,49400000,1
0,1,0,300000,900000,20,436,1200000,1
0,1,1,6900000,22100000,20,303,47100000,1
4,0,0,3700000,11400000,12,728,19600000,0
3,1,1,8800000,28600000,10,775,51800000,0
5,0,1,8200000,23500000,12,402,46700000,1
1,1,1,9200000,31500000,18,698,40100000,0
0,1,0,2400000,7800000,14,665,17200000,0
4,1,0,4100000,13500000,18,490,26800000,1
1,0,0,8000000,31900000,12,504,53400000,1
3,1,1,3600000,8600000,8,790,26300000,0
1,1,1,700000,2700000,20,669,4200000,0
4,1,0,8300000,30700000,6,381,55300000,1
0,0,1,5300000,15000000,2,900,30600000,0
4,0,0,8300000,24900000,16,506,54700000,1
3,1,1,2500000,8800000,12,538,19100000,1
3,0,1,5400000,14400000,8,677,42800000,0
4,0,0,1600000,4900000,8,685,10500000,0
2,1,0,2400000,6200000,12,860,19200000,0
5,1,0,6300000,14800000,6,608,53800000,0
4,0,1,2500000,5300000,10,540,13900000,1
0,0,1,7500000,16800000,16,492,62800000,1
3,1,0,2900000,8500000,14,834,16300000,0
3,0,1,1000000,3500000,16,834,6200000,0
2,0,1,8600000,28800000,8,890,57600000,0
1,1,0,300000,1100000,12,443,2400000,1
5,1,0,2300000,5700000,18,329,16500000,1
2,1,1,2400000,5400000,12,739,10800000,0
5,0,1,9800000,30300000,6,867,74600000,0
2,1,0,8100000,24800000,6,307,45800000,1
3,0,0,6700000,15500000,18,492,39800000,1
1,1,1,8400000,24700000,18,698,81100000,0
2,0,0,200000,700000,8,851,1600000,0
2,0,0,4700000,12500000,14,375,23100000,1
0,0,1,4300000,14300000,14,601,27100000,0
4,1,0,2200000,7000000,20,756,14400000,0
4,0,1,8600000,19200000,4,868,64000000,0
4,0,1,2000000,7200000,10,838,11400000,0
4,1,1,4200000,15900000,14,375,34300000,1
0,1,1,5100000,12500000,18,778,22300000,0
2,0,1,4100000,11200000,6,442,30800000,1
1,0,1,9900000,39500000,12,808,59200000,0
1,1,1,3200000,9000000,20,372,16500000,1
2,0,0,5500000,19000000,4,597,29100000,0
0,0,1,7800000,29100000,20,435,61100000,1
3,0,1,3400000,9700000,20,728,12700000,0
4,0,1,7900000,25900000,14,373,60500000,1
3,0,1,8900000,18500000,10,367,48400000,1
2,0,0,7300000,19100000,14,552,36200000,0
4,1,1,3300000,10600000,8,465,15000000,1
4,0,1,2900000,10500000,8,607,21300000,0
2,0,1,500000,1300000,4,427,4300000,1
3,1,0,7200000,21200000,4,711,45600000,0
3,1,0,8300000,24100000,14,823,38300000,0
1,1,1,8700000,20500000,6,523,54300000,1
4,1,1,7100000,27900000,10,328,56600000,1
3,0,1,9800000,28200000,12,721,53800000,0
0,0,1,6900000,17000000,20,599,58400000,0
0,1,0,2400000,5000000,14,580,19000000,0
1,1,1,2100000,4900000,10,744,8600000,0
2,0,1,7200000,23900000,4,559,45000000,0
2,0,0,4600000,13500000,16,587,29200000,0
5,0,1,9900000,31800000,18,817,68200000,0
4,1,1,300000,1000000,20,655,1600000,0
5,0,1,6900000,23900000,6,382,54400000,1
2,0,1,1700000,4300000,6,765,10800000,0
2,0,1,4400000,10000000,20,516,32300000,1
4,1,1,4300000,15000000,8,383,18700000,1
2,1,0,3700000,14100000,6,633,15700000,0
1,0,0,5900000,15200000,2,547,37400000,1
5,1,1,8600000,26300000,10,843,62500000,0
3,1,1,3400000,13200000,8,783,24700000,0
3,1,1,1000000,3200000,14,790,6700000,0
1,1,1,4400000,14200000,16,409,31100000,1
0,1,0,3600000,7800000,14,376,31600000,1
3,1,0,1400000,2700000,8,625,9300000,0
0,1,0,5300000,10900000,18,707,35800000,0
3,0,1,9400000,20500000,6,645,65100000,0
4,1,1,6600000,22100000,6,887,31600000,0
5,0,0,9800000,37600000,18,319,49300000,1
1,1,0,1900000,4900000,20,647,14700000,0
2,1,1,5800000,22500000,6,888,36400000,0
2,1,0,3100000,10400000,10,420,26300000,1
0,0,0,6800000,18400000,2,791,35000000,0
5,1,0,4600000,16200000,12,891,21600000,0
2,1,1,200000,700000,16,641,1500000,0
3,1,1,9500000,22800000,6,319,62500000,1
5,1,1,6200000,22200000,20,819,50500000,0
4,1,1,9700000,32300000,18,387,51300000,1
5,0,1,4200000,12300000,2,686,30500000,0
1,0,1,5700000,12000000,4,415,41300000,1
2,0,1,200000,500000,6,885,400000,1
4,0,0,8000000,25500000,4,722,62200000,0
4,0,0,5200000,20400000,20,761,26800000,0
1,0,1,7100000,15200000,8,389,37000000,1
1,0,1,9300000,27900000,12,600,41900000,0
5,0,0,2000000,6100000,2,407,10400000,0
3,0,1,3900000,14000000,18,829,23500000,0
2,1,0,2800000,5900000,6,895,17300000,0
5,0,1,3000000,11100000,12,441,20300000,1
4,1,0,4500000,9800000,16,895,37400000,0
4,0,0,1900000,4300000,4,826,10300000,0
1,0,0,2300000,7200000,8,453,16600000,1
0,0,0,4700000,17500000,2,701,26400000,0
2,1,1,1300000,2700000,8,627,4300000,0
3,0,0,3100000,11000000,2,543,19500000,0
0,0,0,8400000,17500000,18,411,60200000,1
5,0,1,1700000,5800000,4,583,12100000,0
2,1,0,1900000,7500000,2,889,11400000,0
3,1,0,2400000,8600000,8,684,13600000,0
5,0,0,6800000,20500000,10,578,42900000,0
1,0,0,2900000,10900000,20,445,21300000,1
4,0,1,8900000,26300000,10,369,70400000,1
1,1,0,8800000,22200000,18,794,51800000,0
